variable_source_id,geom_dependency_uuid,variable_name,variable_desc,data_source_uuid,geom_join_column,attr_concept_id,attr_start_date,attr_end_date,attr_source_value,value_as_number_col,value_source_value,unit_concept_id,value_as_concept_id,dataset_type
78,7700,SVI_E_DISABL,"SVI 2014: Civilian noninstitutionalized population with a disability estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,e_disabl,e_disabl,e_disabl,,,SVI
79,7700,SVI_M_DISABL,"SVI 2014: Civilian noninstitutionalized population with a disability estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,m_disabl,m_disabl,m_disabl,,,SVI
80,7700,SVI_E_SNGPNT,"SVI 2014: Single parent household with children under 18 estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,e_sngpnt,e_sngpnt,e_sngpnt,,,SVI
81,7700,SVI_M_SNGPNT,"SVI 2014: Single parent household with children under 18 estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,m_sngpnt,m_sngpnt,m_sngpnt,,,SVI
82,7700,SVI_E_MINRTY,"SVI 2014: Minority (all persons except white, non-Hispanic) estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,e_minrty,e_minrty,e_minrty,,,SVI
83,7700,SVI_M_MINRTY,"SVI 2014: Minority (all persons except white, non-Hispanic) estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,m_minrty,m_minrty,m_minrty,,,SVI
84,7700,SVI_E_LIMENG,"SVI 2014: Persons (age 5+) who speak English ""less than well"" estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,e_limeng,e_limeng,e_limeng,,,SVI
85,7700,SVI_M_LIMENG,"SVI 2014: Persons (age 5+) who speak English ""less than well"" estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,m_limeng,m_limeng,m_limeng,,,SVI
86,7700,SVI_E_MUNIT,"SVI 2014: Housing in structures with 10 or more units estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,e_munit,e_munit,e_munit,,,SVI
87,7700,SVI_M_MUNIT,"SVI 2014: Housing in structures with 10 or more units estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,m_munit,m_munit,m_munit,,,SVI
88,7700,SVI_E_MOBILE,"SVI 2014: Mobile homes estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,e_mobile,e_mobile,e_mobile,,,SVI
89,7700,SVI_M_MOBILE,"SVI 2014: Mobile homes estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,m_mobile,m_mobile,m_mobile,,,SVI
90,7700,SVI_E_CROWD,"SVI 2014: At household level (occupied housing units), more people than rooms estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,e_crowd,e_crowd,e_crowd,,,SVI
91,7700,SVI_M_CROWD,"SVI 2014: At household level (occupied housing units), more people than rooms estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,m_crowd,m_crowd,m_crowd,,,SVI
92,7700,SVI_E_NOVEH,"SVI 2014: Households with no vehicle available estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,e_noveh,e_noveh,e_noveh,,,SVI
93,7700,SVI_M_NOVEH,"SVI 2014: Households with no vehicle available estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,m_noveh,m_noveh,m_noveh,,,SVI
94,7700,SVI_E_GROUPQ,"SVI 2014: Persons in institutionalized and noninstitutionalized group quarters estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,e_groupq,e_groupq,e_groupq,,,SVI
95,7700,SVI_M_GROUPQ,"SVI 2014: Persons in institutionalized and noninstitutionalized group quarters estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,m_groupq,m_groupq,m_groupq,,,SVI
96,7700,SVI_EP_POV,SVI 2014: Percentage of persons below poverty estimate,9914,FIPS,,2014-01-01,2014-12-31,ep_pov,ep_pov,ep_pov,,,SVI
97,7700,SVI_MP_POV,SVI 2014: Percentage of persons below poverty estimate MOE,9914,FIPS,,2014-01-01,2014-12-31,mp_pov,mp_pov,mp_pov,,,SVI
98,7700,SVI_EP_UNEMP,SVI 2014: Percentage of civilian (age 16+) unemployed estimate,9914,FIPS,,2014-01-01,2014-12-31,ep_unemp,ep_unemp,ep_unemp,,,SVI
99,7700,SVI_MP_UNEMP,SVI 2014: Percentage of civilian (age 16+) unemployed estimate MOE,9914,FIPS,,2014-01-01,2014-12-31,mp_unemp,mp_unemp,mp_unemp,,,SVI
100,7700,SVI_EP_PCI,"SVI 2014: Per capita income estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,ep_pci,ep_pci,ep_pci,,,SVI
101,7700,SVI_MP_PCI,"SVI 2014: Per capita income estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,mp_pci,mp_pci,mp_pci,,,SVI
102,7700,SVI_EP_NOHSDP,SVI 2014: Percentage of persons with no high school diploma (age 25+) estimate,9914,FIPS,,2014-01-01,2014-12-31,ep_nohsdp,ep_nohsdp,ep_nohsdp,,,SVI
103,7700,SVI_MP_NOHSDP,SVI 2014: Percentage of persons with no high school diploma (25+) estimate MOE,9914,FIPS,,2014-01-01,2014-12-31,mp_nohsdp,mp_nohsdp,mp_nohsdp,,,SVI
104,7700,SVI_EP_AGE65,"SVI 2014: Percentage of persons aged 65 and older estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,ep_age65,ep_age65,ep_age65,,,SVI
105,7700,SVI_MP_AGE65,"SVI 2014: Percentage of persons aged 65 and older estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,mp_age65,mp_age65,mp_age65,,,SVI
106,7700,SVI_EP_AGE17,"SVI 2014: Percentage of persons aged 17 and younger estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,ep_age17,ep_age17,ep_age17,,,SVI
107,7700,SVI_MP_AGE17,"SVI 2014: Percentage of persons aged 17 and younger estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,mp_age17,mp_age17,mp_age17,,,SVI
108,7700,SVI_EP_DISABL,"SVI 2014: Percentage of civilian noninstitutionalized population with a disability estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,ep_disabl,ep_disabl,ep_disabl,,,SVI
109,7700,SVI_MP_DISABL,"SVI 2014: Percentage of civilian noninstitutionalized population with a disability estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,mp_disabl,mp_disabl,mp_disabl,,,SVI
110,7700,SVI_EP_SNGPNT,"SVI 2014: Percentage of single parent households with children under 18 estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,ep_sngpnt,ep_sngpnt,ep_sngpnt,,,SVI
111,7700,SVI_MP_SNGPNT,"SVI 2014: Percentage of single parent households with children under 18 estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,mp_sngpnt,mp_sngpnt,mp_sngpnt,,,SVI
112,7700,SVI_EP_MINRTY,"SVI 2014: Percentage minority (all persons except white, non-Hispanic) estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,ep_minrty,ep_minrty,ep_minrty,,,SVI
113,7700,SVI_MP_MINRTY,"SVI 2014: Percentage minority (all persons except white, non-Hispanic) estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,mp_minrty,mp_minrty,mp_minrty,,,SVI
114,7700,SVI_EP_LIMENG,"SVI 2014: Percentage of persons (age 5+) who speak English ""less than well"" estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,ep_limeng,ep_limeng,ep_limeng,,,SVI
115,7700,SVI_MP_LIMENG,"SVI 2014: Percentage of persons (age 5+) who speak English ""less than well"" estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,mp_limeng,mp_limeng,mp_limeng,,,SVI
116,7700,SVI_EP_MUNIT,SVI 2014: Percentage of housing in structures with 10 or more units estimate,9914,FIPS,,2014-01-01,2014-12-31,ep_munit,ep_munit,ep_munit,,,SVI
117,7700,SVI_MP_MUNIT,SVI 2014: Percentage of housing in structures with 10 or more units estimate MOE,9914,FIPS,,2014-01-01,2014-12-31,mp_munit,mp_munit,mp_munit,,,SVI
118,7700,SVI_EP_MOBILE,SVI 2014: Percentage of mobile homes estimate,9914,FIPS,,2014-01-01,2014-12-31,ep_mobile,ep_mobile,ep_mobile,,,SVI
119,7700,SVI_MP_MOBILE,SVI 2014: Percentage of mobile homes estimate MOE,9914,FIPS,,2014-01-01,2014-12-31,mp_mobile,mp_mobile,mp_mobile,,,SVI
120,7700,SVI_EP_CROWD,SVI 2014: Percentage of occupied housing units with more people than rooms estimate,9914,FIPS,,2014-01-01,2014-12-31,ep_crowd,ep_crowd,ep_crowd,,,SVI
121,7700,SVI_MP_CROWD,SVI 2014: Percentage of occupied housing units with more people than rooms estimate MOE,9914,FIPS,,2014-01-01,2014-12-31,mp_crowd,mp_crowd,mp_crowd,,,SVI
122,7700,SVI_EP_NOVEH,SVI 2014: Percentage of households with no vehicle available estimate,9914,FIPS,,2014-01-01,2014-12-31,ep_noveh,ep_noveh,ep_noveh,,,SVI
123,7700,SVI_MP_NOVEH,SVI 2014: Percentage of households with no vehicle available estimate MOE,9914,FIPS,,2014-01-01,2014-12-31,mp_noveh,mp_noveh,mp_noveh,,,SVI
124,7700,SVI_EP_GROUPQ,"SVI 2014: Percentage of persons in institutionalized and noninstitutionalized group quarters estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,ep_groupq,ep_groupq,ep_groupq,,,SVI
125,7700,SVI_MP_GROUPQ,"SVI 2014: Percentage of persons in institutionalized and noninstitutionalized group quarters estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,mp_groupq,mp_groupq,mp_groupq,,,SVI
126,7700,SVI_EPL_POV,SVI 2014: Percentile Percentage of persons below poverty estimate,9914,FIPS,,2014-01-01,2014-12-31,epl_pov,epl_pov,epl_pov,,,SVI
127,7700,SVI_EPL_UNEMP,SVI 2014: Percentile Percentage of civilian (age 16+) unemployed estimate,9914,FIPS,,2014-01-01,2014-12-31,epl_unemp,epl_unemp,epl_unemp,,,SVI
128,7700,SVI_EPL_PCI,SVI 2014: Percentile per capita income estimate,9914,FIPS,,2014-01-01,2014-12-31,epl_pci,epl_pci,epl_pci,,,SVI
129,7700,SVI_EPL_NOHSDP,SVI 2014: Percentile Percentage of persons with no high school diploma (age 25+) estimate,9914,FIPS,,2014-01-01,2014-12-31,epl_nohsdp,epl_nohsdp,epl_nohsdp,,,SVI
130,7700,SVI_EPL_AGE65,SVI 2014: Percentile percentage of persons aged 65 and older estimate,9914,FIPS,,2014-01-01,2014-12-31,epl_age65,epl_age65,epl_age65,,,SVI
131,7700,SVI_EPL_AGE17,SVI 2014: Percentile percentage of persons aged 17 and younger estimate,9914,FIPS,,2014-01-01,2014-12-31,epl_age17,epl_age17,epl_age17,,,SVI
132,7700,SVI_EPL_DISABL,SVI 2014: Percentile percentage of civilian noninstitutionalized population with a disability estimate,9914,FIPS,,2014-01-01,2014-12-31,epl_disabl,epl_disabl,epl_disabl,,,SVI
133,7700,SVI_EPL_SNGPNT,SVI 2014: Percentile percentage of single parent households with children under 18 estimate,9914,FIPS,,2014-01-01,2014-12-31,epl_sngpnt,epl_sngpnt,epl_sngpnt,,,SVI
134,7700,SVI_EPL_MINRTY,"SVI 2014: Percentile percentage minority (all persons except white, non-Hispanic) estimate",9914,FIPS,,2014-01-01,2014-12-31,epl_minrty,epl_minrty,epl_minrty,,,SVI
135,7700,SVI_EPL_LIMENG,"SVI 2014: Percentile percentage of persons (age 5+) who speak English ""less than well"" estimate",9914,FIPS,,2014-01-01,2014-12-31,epl_limeng,epl_limeng,epl_limeng,,,SVI
136,7700,SVI_EPL_MUNIT,SVI 2014: Percentile percentage housing in structures with 10 or more units estimate,9914,FIPS,,2014-01-01,2014-12-31,epl_munit,epl_munit,epl_munit,,,SVI
137,7700,SVI_EPL_MOBILE,SVI 2014: Percentile percentage mobile homes estimate,9914,FIPS,,2014-01-01,2014-12-31,epl_mobile,epl_mobile,epl_mobile,,,SVI
138,7700,SVI_EPL_CROWD,SVI 2014: Percentile percentage households with more people than rooms estimate,9914,FIPS,,2014-01-01,2014-12-31,epl_crowd,epl_crowd,epl_crowd,,,SVI
139,7700,SVI_EPL_NOVEH,SVI 2014: Percentile percentage households with no vehicle available estimate,9914,FIPS,,2014-01-01,2014-12-31,epl_noveh,epl_noveh,epl_noveh,,,SVI
